UniProt ID,DrugBank ID,Fold,Type
P01270,DB04419,1,Positive
P13716,DB00855,1,Positive
P41595,DB00714,1,Positive
P23219,DB04557,1,Positive
P10275,DB09389,1,Positive
P00734,DB06947,1,Positive
P62937,DB01742,1,Positive
P43116,DB00770,1,Positive
P78334,DB11582,1,Positive
P17538,DB08374,1,Positive
P30939,DB01221,1,Positive
Q6PKH6,DB04200,1,Positive
P43235,DB06367,1,Positive
Q16445,DB00463,1,Positive
Q6UWM7,DB02185,1,Positive
P25021,DB01069,1,Positive
P43119,DB01088,1,Positive
P16435,DB03247,1,Positive
O60658,DB00201,1,Positive
P20309,DB01239,1,Positive
O15399,DB06151,1,Positive
P40238,DB11995,1,Positive
Q04609,DB07754,1,Positive
P23280,DB08846,1,Positive
P43088,DB00287,1,Positive
P35354,DB01041,1,Positive
P04035,DB00157,1,Positive
P08173,DB01151,1,Positive
P35908,DB14533,1,Positive
P08172,DB00411,1,Positive
P31644,DB01068,1,Positive
P23415,DB14011,1,Positive
P0CG22,DB03461,1,Positive
P25100,DB13345,1,Positive
P09668,DB04126,1,Positive
Q92993,DB01992,1,Positive
O15554,DB00257,1,Positive
P18825,DB01175,1,Positive
Q92736,DB09085,1,Positive
P18507,DB00603,1,Positive
P08912,DB00767,1,Positive
O95264,DB09304,1,Positive
O00305,DB09232,1,Positive
P31930,DB04141,1,Positive
P07550,DB00221,1,Positive
P00813,DB07786,1,Positive
P05093,DB09061,1,Positive
P05156,DB14533,1,Positive
P00326,DB00157,1,Positive
P47944,DB12965,1,Positive
P00156,DB04799,1,Positive
P35232,DB15495,1,Positive
P23219,DB00712,1,Positive
P23975,DB05964,1,Positive
P34995,DB00429,1,Positive
Q9UGI9,DB12010,1,Positive
Q9UDW1,DB07401,1,Positive
P32297,DB00674,1,Positive
Q9UHI5,DB00120,1,Positive
P07900,DB06964,1,Positive
O14757,DB07320,1,Positive
P41180,DB11093,1,Positive
P10275,DB00984,1,Positive
P00734,DB07796,1,Positive
P37059,DB00157,1,Positive
P35367,DB06229,1,Positive
P37231,DB09006,1,Positive
P28472,DB11901,1,Positive
Q9Y5R8,DB08342,1,Positive
P24941,DB08355,1,Positive
P47870,DB00292,1,Positive
P48147,DB03535,1,Positive
O14939,DB14006,1,Positive
Q8TF76,DB08004,1,Positive
P06310,DB07375,1,Positive
P47869,DB00599,1,Positive
P47869,DB15489,1,Positive
